Record ID,File Name,Assignment ID,Year,Person,Keywords,Creators,Date
207431327,HearstTransportation_CAMP_MontrealTeam.png,CPR6931p,,Unidentified,"People @ Work,Hearst transportation,Transportation,Employee Image,CAMP,Hearst Transportation,Career Site",,
207431332,HearstTransportation_MicrosoftTeams_ZoomMeeting.png,CPR6931p,,"Unidentified,Don Dickson,Danya Bynoe,Varun Kumar Chepuri,Hai Nguyen,Chris Kubinski,Richard Wallace,Mike Greig,Craig Campbell,Joseph Galko,Todd Sprayberry","People @ Work,Hearst transportation,Transportation,Zoom,Employee Image,Hearst Transportation,Career Site",,
207431348,HearstTransportation_BlackBook_LauraWehunt_1.png,CPR6931p,,Laura Wehunt,"People @ Work,Hearst transportation,Headshots,Transportation,Black Book,Portraits,Employee Image,Hearst Transportation,Career Site",,
207431356,HearstTransportation_BlackBook_LauraWehunt_2.png,CPR6931p,,Laura Wehunt,"People @ Work,Hearst transportation,Headshots,Transportation,Black Book,Portraits,Employee Image,Hearst Transportation,Career Site",,
207432753,HearstMagazines_CDS_Employee.png,CPR6931p,,Bryan Phillips,"People @ Work,CDS,Hearst Magazines,Hearst magazines,Headshots,Magazines,Portraits,Employee Image,Career Site",,
207432784,HearstMagazines_Affinity Groups.png,CPR6931p,,Unidentified,"People @ Work,Hearst Magazines,Hearst magazines,Affinity Groups,Magazines,Employee Image,Career Site",,
207432786,HearstMagazines_Value_WeEvolveWithPurpose.png,CPR6931p,,,"People @ Work,Hearst Magazines,Hearst magazines,Magazines,Employee Image,Career Site",,
207432788,HearstMagazines_Value_hearst_galleries.png,CPR6931p,,Unidentified,"People @ Work,Hearst Magazines,Hearst magazines,offices,Magazines,Employee Image,Career Site",,
207432796,HearstMagazines_CommunityOutreach.png,CPR6931p,,"Unidentified,Paul Luthringer,Stephanie Mayne,Anna Gress,Flavius Cosarca","People @ Work,Hearst Magazines,Hearst magazines,Magazines,Community Outreach,Employee Image,Hearst Tower,Career Site",,
207432797,HearstMagazines_HR_Good HousekeepingOffice.png,CPR6931p,,Lauren Matthews,"People @ Work,Hearst Magazines,Hearst magazines,Magazines,Employee Image,Good Housekeeping,Hearst Tower,Career Site",,
207432881,HearstHealth_FDB_OneWarmCoat.png,CPR6931p,,Unidentified,"People @ Work,FDB,Employee Image,Hearst Health,Career Site",,
207432894,HearstHealth_FDB_GivesBack3.png,CPR6931p,,Unidentified,"People @ Work,FDB,Employee Image,Hearst Health,Career Site",,
207432937,HearstHealth_Executive.png,CPR6931p,,Unidentified,"People @ Work,Employee Image,Hearst Health,Career Site",,
207432942,HearstHealth_HCHB_Nurses_FromWebsite.png,CPR6931p,,Unidentified,"People @ Work,Homecare Homebase,HCHB,Employee Image,Hearst Health,Career Site",,
207432947,HearstHealth_Clinical.png,CPR6931p,,Unidentified,"People @ Work,Employee Image,Hearst Health,Career Site",,
207432949,HearstHealth_MHK_Laura Wehunt.png,CPR6931p,,Laura Wehunt,"People @ Work,MHK,Headshots,Portraits,Employee Image,Hearst Health,Career Site",,
207891158,92 - Television_KMBC Meet Greet.png,CPR6999,2019-01-01,Unidentified,"People @ Work,KMBC,2019,Hearst Television,Annual,Television,Annual 2019,Hearst television",,
207921642,Screen Shot 2020-07-31 at 2.34.42 PM.png,,2020-07-31,,"T. Howard Interns,Hearst Associates,Interns,Graduation,Virtual Event,Events,Steve R. Swartz,SRS,Alex Carlin,People @ Work",,
207921643,Screen Shot 2020-07-31 at 2.41.42 PM.png,,2020-07-31,,"T. Howard Interns,Hearst Associates,Interns,Graduation,Virtual Event,Events,Steve R. Swartz,SRS,Alex Carlin,People @ Work",,
207921644,Screen Shot 2020-07-31 at 2.46.56 PM.png,,2020-07-31,,"T. Howard Interns,Hearst Associates,Interns,Graduation,Virtual Event,Events,Steve R. Swartz,SRS,Alex Carlin,People @ Work",,
207921645,Screen Shot 2020-07-31 at 2.47.07 PM.png,,2020-07-31,,"T. Howard Interns,Hearst Associates,Interns,Graduation,Virtual Event,Events,Steve R. Swartz,SRS,Alex Carlin,People @ Work",,
207921646,Screen Shot 2020-07-31 at 3.10.17 PM.png,,2020-07-31,Laura Jones,"T. Howard Interns,Hearst Associates,Interns,Graduation,Virtual Event,Events,Steve R. Swartz,SRS,Alex Carlin,People @ Work",,
207921647,Screen Shot 2020-07-31 at 3.12.41 PM.png,,2020-07-31,,"T. Howard Interns,Hearst Associates,Interns,Graduation,Virtual Event,Events,Steve R. Swartz,SRS,Alex Carlin,People @ Work",,
207921648,Screen Shot 2020-07-31 at 3.14.10 PM.png,,2020-07-31,Bryan Vaughn,"T. Howard Interns,Hearst Associates,Interns,Graduation,Virtual Event,Events,Steve R. Swartz,SRS,Alex Carlin,People @ Work",,
207921649,Screen Shot 2020-07-31 at 3.14.57 PM.png,,2020-07-31,,"T. Howard Interns,Hearst Associates,Interns,Graduation,Virtual Event,Events,Steve R. Swartz,SRS,Alex Carlin,People @ Work",,
